indx,pl_name,hostname,sys_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,st_spectype,st_rad,st_mass,sy_dist,disc_facility
851,Kepler-758 d,Kepler-758,Kepler-758,1,4,Transit,2016,0.1447,2.12,5.14,0.0,,1.42,1.16,1502.32,Kepler
852,Kepler-758 e,Kepler-758,Kepler-758,1,4,Transit,2016,0.0785,1.53,2.96,0.0,,1.42,1.16,1502.32,Kepler
853,Kepler-79 b,Kepler-79,Kepler-79,1,4,Transit,2012,0.117,3.47,10.9,0.015,,1.3,1.17,1020.72,Kepler
854,Kepler-79 c,Kepler-79,Kepler-79,1,4,Transit,2012,0.187,3.72,5.9,0.03,,1.3,1.17,1020.72,Kepler
855,Kepler-79 d,Kepler-79,Kepler-79,1,4,Transit,2014,0.287,7.16,6.0,0.025,,1.3,1.17,1020.72,Kepler
856,Kepler-79 e,Kepler-79,Kepler-79,1,4,Transit,2014,0.386,3.49,4.1,0.012,,1.3,1.17,1020.72,Kepler
857,Kepler-85 b,Kepler-85,Kepler-85,1,4,Transit,2012,0.0766,1.97,4.54,0.0,,1.24,0.92,765.025,Kepler
858,Kepler-85 c,Kepler-85,Kepler-85,1,4,Transit,2012,0.1007,2.18,20.9,0.0,,1.24,0.92,765.025,Kepler
859,Kepler-85 d,Kepler-85,Kepler-85,1,4,Transit,2014,0.13,1.2,1.87,0.0,,0.89,0.87,765.025,Kepler
860,Kepler-85 e,Kepler-85,Kepler-85,1,4,Transit,2014,0.163,1.27,0.6,0.0,,0.89,0.92,765.025,Kepler
861,L 98-59 b,L 98-59,L 98-59,1,4,Transit,2019,0.02191,0.85,0.4,0.103,M3 V,0.3,0.27,10.6194,Transiting Exoplanet Survey Satellite (TESS)
862,L 98-59 c,L 98-59,L 98-59,1,4,Transit,2019,0.0304,1.385,2.22,0.103,M3 V,0.3,0.27,10.6194,Transiting Exoplanet Survey Satellite (TESS)
863,L 98-59 d,L 98-59,L 98-59,1,4,Transit,2019,0.0486,1.521,1.94,0.074,M3 V,0.3,0.27,10.6194,Transiting Exoplanet Survey Satellite (TESS)
864,L 98-59 e,L 98-59,L 98-59,1,4,Radial Velocity,2021,0.0717,1.56,3.06,0.128,M3 V,0.3,0.27,10.6194,Multiple Observatories
865,TOI-1246 b,TOI-1246,TOI-1246,1,4,Transit,2022,0.049,3.01,8.1,,K V,0.86,0.87,169.422,Transiting Exoplanet Survey Satellite (TESS)
866,TOI-1246 c,TOI-1246,TOI-1246,1,4,Transit,2022,0.061,2.51,8.8,,K V,0.86,0.87,169.422,Transiting Exoplanet Survey Satellite (TESS)
867,TOI-1246 d,TOI-1246,TOI-1246,1,4,Transit,2022,0.131,3.51,5.3,,K V,0.86,0.87,169.422,Transiting Exoplanet Survey Satellite (TESS)
868,TOI-1246 e,TOI-1246,TOI-1246,1,4,Transit,2022,0.211,3.78,14.8,,K V,0.86,0.87,169.422,Transiting Exoplanet Survey Satellite (TESS)
869,TOI-500 b,TOI-500,TOI-500,1,4,Transit,2022,0.01189,1.166,1.42,0.063,K6 V,0.68,0.74,47.3924,Transiting Exoplanet Survey Satellite (TESS)
870,TOI-500 c,TOI-500,TOI-500,1,4,Radial Velocity,2022,,2.09,5.03,0.072,K6 V,0.68,0.74,47.3924,La Silla Observatory
871,TOI-500 d,TOI-500,TOI-500,1,4,Radial Velocity,2022,,6.35,33.12,0.016,K6 V,0.68,0.74,47.3924,La Silla Observatory
872,TOI-500 e,TOI-500,TOI-500,1,4,Radial Velocity,2022,,3.99,15.05,0.073,K6 V,0.68,0.74,47.3924,La Silla Observatory
873,TOI-700 b,TOI-700,TOI-700,1,4,Transit,2020,0.0677,0.914,0.704,0.075,M2.5 V,0.42,0.42,31.1265,Transiting Exoplanet Survey Satellite (TESS)
874,TOI-700 c,TOI-700,TOI-700,1,4,Transit,2020,0.0929,2.6,7.27,0.068,M2.5 V,0.42,0.42,31.1265,Transiting Exoplanet Survey Satellite (TESS)
875,TOI-700 d,TOI-700,TOI-700,1,4,Transit,2020,0.1633,1.073,1.25,0.042,M2.5 V,0.42,0.42,31.1265,Transiting Exoplanet Survey Satellite (TESS)
