pl_name,st_spectype
Kepler-80 b,K5
Kepler-80 c,K5
Kepler-80 d,K5
Kepler-80 e,K5
Kepler-80 f,K5
Kepler-80 g,K5
TOI-1136 b,
TOI-1136 c,
TOI-1136 d,
TOI-1136 e,
TOI-1136 f,
TOI-1136 g,
TOI-178 b,K
TOI-178 c,K
TOI-178 d,K
TOI-178 e,K
TOI-178 f,K
TOI-178 g,K
HD 108236 b,G3 V
HD 108236 c,G3 V
HD 108236 d,G3 V
HD 108236 e,G3 V
HD 108236 f,G3 V
HD 158259 b,G0
HD 158259 c,G0
HD 158259 d,G0
HD 158259 e,G0
HD 158259 f,G0
HD 23472 b,K4 V
HD 23472 c,K4 V
HD 23472 d,K4 V
HD 23472 e,K4 V
HD 23472 f,K4 V
HD 40307 b,K2.5 V
HD 40307 c,K2.5 V
HD 40307 d,K2.5 V
HD 40307 f,K2.5 V
HD 40307 g,K2.5 V
HIP 41378 b,F6
HIP 41378 c,F6
HIP 41378 d,F6
HIP 41378 e,F6
HIP 41378 f,F6
K2-268 b,
K2-268 c,
K2-268 d,
K2-268 e,
K2-268 f,
K2-384 b,M4 V
K2-384 c,M4 V
K2-384 d,M4 V
K2-384 e,M4 V
K2-384 f,M4 V
Kepler-102 b,
Kepler-102 c,
Kepler-102 d,
Kepler-102 e,
Kepler-102 f,
Kepler-122 b,
Kepler-122 c,
Kepler-122 d,
Kepler-122 e,
Kepler-122 f,
Kepler-150 b,
Kepler-150 c,
Kepler-150 d,
Kepler-150 e,
Kepler-150 f,
Kepler-154 b,
Kepler-154 c,
Kepler-154 d,
Kepler-154 e,
Kepler-154 f,
Kepler-169 b,
Kepler-169 c,
Kepler-169 d,
Kepler-169 e,
Kepler-169 f,
Kepler-186 b,M1
Kepler-186 c,M1
Kepler-186 d,M1
Kepler-186 e,M1
Kepler-186 f,M1
Kepler-238 b,
Kepler-238 c,
Kepler-238 d,
Kepler-238 e,
Kepler-238 f,
Kepler-292 b,
Kepler-292 c,
Kepler-292 d,
Kepler-292 e,
Kepler-292 f,
Kepler-32 b,M1 V
Kepler-32 c,M1 V
Kepler-32 d,M1 V
Kepler-32 e,M1 V
Kepler-32 f,M1 V
Kepler-33 b,
Kepler-33 c,
Kepler-33 d,
Kepler-33 e,
Kepler-33 f,
Kepler-55 b,
Kepler-55 c,
Kepler-55 d,
Kepler-55 e,
Kepler-55 f,
Kepler-62 b,K2 V
Kepler-62 c,K2 V
Kepler-62 d,K2 V
Kepler-62 e,K2 V
Kepler-62 f,K2 V
Kepler-82 b,
Kepler-82 c,
Kepler-82 d,
Kepler-82 e,
Kepler-82 f,
Kepler-84 b,
Kepler-84 c,
Kepler-84 d,
Kepler-84 e,
Kepler-84 f,
TOI-561 b,G9 V
TOI-561 c,G9 V
TOI-561 d,G9 V
TOI-561 e,G9 V
TOI-561 f,G9 V
DMPP-1 b,F8 V
DMPP-1 c,F8 V
DMPP-1 d,F8 V
DMPP-1 e,F8 V
GJ 3293 b,M2.5
GJ 3293 c,M2.5
GJ 3293 d,M2.5
GJ 3293 e,M2.5
GJ 876 b,M4 V
GJ 876 c,M4 V
GJ 876 d,M4 V
GJ 876 e,M2.5V
HD 141399 b,K0
HD 141399 c,K0
HD 141399 d,K0
HD 141399 e,K0
HD 160691 b,G3 IV-V
HD 160691 c,G3 IV-V
HD 160691 d,G3 IV-V
HD 160691 e,G3 IV-V
HD 164922 b,G9 V
HD 164922 c,G9 V
HD 164922 d,G9 V
HD 164922 e,G9 V
HD 20794 b,G8 V
HD 20794 c,G8 V
HD 20794 d,G8 V
HD 20794 e,G8
HD 215152 b,K3 V
HD 215152 c,K3 V
HD 215152 d,K3 V
HD 215152 e,K3 V
HD 3167 b,K0 V
HD 3167 c,K0 V
HD 3167 d,K0 V
HD 3167 e,K0 V
HR 8799 b,A5 V
HR 8799 c,A5 V
HR 8799 d,A5 V
HR 8799 e,A5
K2-133 b,M1.5 V
K2-133 c,M1.5 V
K2-133 d,M1.5 V
K2-133 e,M1.5 V
K2-187 b,
K2-187 c,
K2-187 d,
K2-187 e,
K2-285 b,K2 V
K2-285 c,K2 V
K2-285 d,K2 V
K2-285 e,K2 V
K2-72 b,
K2-72 c,
K2-72 d,
K2-72 e,
KOI-1831 d,
Kepler-106 b,
Kepler-106 c,
Kepler-106 d,
Kepler-106 e,
Kepler-107 b,
Kepler-107 c,
Kepler-107 d,
Kepler-107 e,
Kepler-138 b,M1 V
Kepler-138 c,M1 V
Kepler-138 d,M1 V
Kepler-138 e,M1 V
Kepler-1388 b,
Kepler-1388 c,
Kepler-1388 d,
Kepler-1388 e,
Kepler-1542 b,
Kepler-1542 c,
Kepler-1542 d,
Kepler-1542 e,
Kepler-172 b,
Kepler-172 c,
Kepler-172 d,
Kepler-172 e,
Kepler-176 b,
Kepler-176 c,
Kepler-176 d,
Kepler-176 e,
Kepler-208 b,
Kepler-208 c,
Kepler-208 d,
Kepler-208 e,
Kepler-215 b,
Kepler-215 c,
Kepler-215 d,
Kepler-215 e,
Kepler-220 b,
Kepler-220 c,
Kepler-220 d,
Kepler-220 e,
Kepler-221 b,
Kepler-221 c,
Kepler-221 d,
Kepler-221 e,
Kepler-223 b,
Kepler-223 c,
Kepler-223 d,
Kepler-223 e,
Kepler-224 b,
Kepler-224 c,
Kepler-224 d,
Kepler-224 e,
Kepler-235 b,M0 V
Kepler-235 c,M0 V
Kepler-235 d,M0 V
Kepler-235 e,M0 V
Kepler-24 b,
Kepler-24 c,
Kepler-24 d,
Kepler-24 e,
Kepler-245 b,
Kepler-245 c,
Kepler-245 d,
Kepler-245 e,
Kepler-251 b,
Kepler-251 c,
Kepler-251 d,
Kepler-251 e,
Kepler-256 b,
Kepler-256 c,
Kepler-256 d,
Kepler-256 e,
Kepler-26 b,M0 V
Kepler-26 c,M0 V
Kepler-26 d,M0 V
Kepler-26 e,M0 V
Kepler-265 b,
Kepler-265 c,
Kepler-265 d,
Kepler-265 e,
Kepler-282 b,
Kepler-282 c,
Kepler-282 d,
Kepler-282 e,
Kepler-286 b,
Kepler-286 c,
Kepler-286 d,
Kepler-286 e,
Kepler-299 b,
Kepler-299 c,
Kepler-299 d,
Kepler-299 e,
Kepler-304 b,
Kepler-304 c,
Kepler-304 d,
Kepler-304 e,
Kepler-305 b,
Kepler-305 c,
Kepler-305 d,
Kepler-305 e,
Kepler-306 b,
Kepler-306 c,
Kepler-306 d,
Kepler-306 e,
Kepler-324 b,
Kepler-324 c,
Kepler-324 e,
Kepler-338 b,
Kepler-338 c,
Kepler-338 d,
Kepler-338 e,
Kepler-341 b,
Kepler-341 c,
Kepler-341 d,
Kepler-341 e,
Kepler-342 b,
Kepler-342 c,
Kepler-342 d,
Kepler-342 e,
Kepler-37 b,
Kepler-37 c,
Kepler-37 d,
Kepler-37 e,
Kepler-402 b,
Kepler-402 c,
Kepler-402 d,
Kepler-402 e,
Kepler-48 b,
Kepler-48 c,
Kepler-48 d,
Kepler-48 e,
Kepler-49 b,M1 V
Kepler-49 c,M1 V
Kepler-49 d,M1 V
Kepler-49 e,M1 V
Kepler-65 b,
Kepler-65 c,
Kepler-65 d,
Kepler-65 e,
Kepler-758 b,
Kepler-758 c,
Kepler-758 d,
Kepler-758 e,
Kepler-79 b,
Kepler-79 c,
Kepler-79 d,
Kepler-79 e,
Kepler-85 b,
Kepler-85 c,
Kepler-85 d,
Kepler-85 e,
L 98-59 b,M3 V
L 98-59 c,M3 V
L 98-59 d,M3 V
L 98-59 e,M3 V
TOI-1246 b,K V
TOI-1246 c,K V
TOI-1246 d,K V
TOI-1246 e,K V
TOI-500 b,K6 V
TOI-500 c,K6 V
TOI-500 d,K6 V
TOI-500 e,K6 V
TOI-700 b,M2.5 V
TOI-700 c,M2.5 V
TOI-700 d,M2.5 V
TOI-700 e,M2.5 V
V1298 Tau b,K0
V1298 Tau c,K0
V1298 Tau d,K0
V1298 Tau e,K0
WASP-47 b,
WASP-47 c,
WASP-47 d,
WASP-47 e,
tau Cet e,G8.5V
tau Cet f,G8.5V
tau Cet g,G8.5V
tau Cet h,G8.5V
47 UMa b,G0 V
47 UMa c,G1 V
47 UMa d,G0V
61 Vir b,G5 V
61 Vir c,G5 V
61 Vir d,G5 V
CoRoT-7 b,G9 V
CoRoT-7 c,G9 V
CoRoT-7 d,G9 V
EPIC 201754305 d,K3 V
EPIC 206024342 b,
EPIC 206024342 c,
EPIC 206024342 d,
EPIC 249893012 b,G8 IV/V
EPIC 249893012 c,G8 IV/V
EPIC 249893012 d,G8 IV/V
GJ 1061 b,M5.5 V
GJ 1061 c,M5.5 V
GJ 1061 d,M5.5 V
GJ 163 b,M
GJ 163 c,M
GJ 163 d,M
GJ 180 b,M2 V
GJ 180 c,M2 V
GJ 180 d,M3
GJ 3138 b,M0
GJ 3138 c,M0
GJ 3138 d,M0
GJ 357 b,M2.5 V
GJ 357 c,M2.5 V
GJ 357 d,M2.5 V
GJ 433 b,M1.5 V
GJ 433 c,M1.5 V
GJ 433 d,M2V
GJ 581 b,M3 V
GJ 581 c,M3 V
GJ 581 e,M3 V
GJ 9827 b,K6 V
GJ 9827 c,K6 V
GJ 9827 d,K6 V
HD 11506 b,G0 V
HD 11506 c,G0 V
HD 11506 d,G0 V
HD 136352 b,G4 V
HD 136352 c,G4 V
HD 136352 d,G4 V
HD 153557 b,K0
HD 153557 c,K0
HD 153557 d,K0
HD 181433 b,K3 IV
HD 181433 c,K3 IV
HD 181433 d,K3 IV
HD 184010 b,K0 III-IV
HD 184010 c,K0 III-IV
HD 184010 d,K0 III-IV
HD 204313 b,G5 V
HD 204313 c,G5 V
HD 204313 e,G5 V
HD 27894 b,K2 V
HD 27894 c,K2 V
HD 27894 d,K2 V
HD 28109 b,F8/G0 V
HD 28109 c,F8/G0 V
HD 28109 d,F8/G0 V
HD 31527 b,G2 V
HD 31527 c,G2 V
HD 31527 d,G2 V
HD 33142 b,K0 III
HD 33142 c,K0 III
HD 33142 d,K0 III
HD 37124 b,G4 V
HD 37124 c,G4 V
HD 37124 d,G4 V
HD 39091 b,G0 V
HD 39194 b,K0 V
HD 39194 c,K0 V
HD 39194 d,K0 V
HD 69830 b,K0V
HD 69830 c,K0V
HD 69830 d,K0V
HD 7924 b,K0.5 V
HD 7924 c,K0.5 V
HD 7924 d,K0.5 V
HD 93385 b,G2/G3 V
HD 93385 c,G2/G3 V
HD 93385 d,G2/G3 V
HD 96700 b,G0 V
HD 96700 c,G0 V
HD 96700 d,G0 V
HIP 14810 b,G5
HIP 14810 c,G5
HIP 14810 d,G5
HIP 57274 b,K4 V
HIP 57274 c,K4 V
HIP 57274 d,K4 V
K2-155 b,K7
K2-155 c,K7
K2-155 d,K7
K2-16 b,K3 V
K2-16 c,K3 V
K2-165 b,
K2-165 c,
K2-165 d,
K2-183 b,
K2-183 c,
K2-183 d,
K2-19 b,G9 V
K2-19 c,G9 V
K2-19 d,G9 V
K2-198 b,
K2-198 c,
K2-198 d,
K2-219 b,
K2-219 c,
K2-219 d,
K2-233 b,K3
K2-233 c,K3
K2-233 d,K3
K2-239 b,M3.0 V
K2-239 c,M3.0 V
K2-239 d,M3.0 V
K2-3 b,M0.0&plusmn0.5 V
K2-3 c,M0.0&plusmn0.5 V
K2-3 d,M0.0&plusmn0.5 V
K2-352 b,
K2-352 c,
K2-352 d,
K2-368 b,
K2-368 c,
K2-368 d,
K2-37 b,G3 V
K2-37 c,G3 V
K2-37 d,G3 V
K2-381 b,
K2-381 c,
K2-381 d,
K2-58 b,
K2-58 c,
K2-58 d,
K2-80 b,
K2-80 c,
K2-80 d,
KIC 10001893 b,
KIC 10001893 c,
KIC 10001893 d,
KIC 8540376 b,
KIC 8540376 c,
KOI-142 b,G6 V
KOI-142 c,G6 V
KOI-1833 d,
Kepler-100 b,
Kepler-100 c,
Kepler-100 d,
Kepler-1073 b,
Kepler-1073 c,
Kepler-1073 d,
Kepler-114 b,M0 V
Kepler-114 c,M0 V
Kepler-114 d,M0 V
Kepler-124 b,
Kepler-124 c,
Kepler-124 d,
Kepler-1254 b,
Kepler-1254 c,
Kepler-1254 d,
Kepler-126 b,
Kepler-126 c,
Kepler-126 d,
Kepler-127 b,
Kepler-127 c,
Kepler-127 d,
Kepler-129 b,G4 V
Kepler-129 c,G4 V
Kepler-129 d,G4 V
Kepler-1311 b,
Kepler-1311 c,
Kepler-1311 d,
Kepler-1321 b,
Kepler-1321 c,
Kepler-1321 d,
Kepler-142 b,
Kepler-142 c,
Kepler-142 d,
Kepler-1468 b,
Kepler-1468 c,
Kepler-1468 d,
Kepler-148 b,
Kepler-148 c,
Kepler-148 d,
Kepler-149 b,
Kepler-149 c,
Kepler-149 d,
Kepler-1530 b,
Kepler-1530 c,
Kepler-1530 d,
Kepler-157 b,
Kepler-157 c,
Kepler-157 d,
Kepler-160 b,
Kepler-160 c,
Kepler-160 d,
Kepler-164 b,
Kepler-164 c,
Kepler-164 d,
Kepler-166 b,
Kepler-166 c,
Kepler-166 d,
Kepler-171 b,
Kepler-171 c,
Kepler-171 d,
Kepler-174 b,
Kepler-174 c,
Kepler-174 d,
Kepler-178 b,
Kepler-178 c,
Kepler-178 d,
Kepler-18 b,
Kepler-18 c,
Kepler-18 d,
Kepler-184 b,
Kepler-184 c,
Kepler-184 d,
Kepler-19 b,
Kepler-19 c,
Kepler-19 d,
Kepler-191 b,
Kepler-191 c,
Kepler-191 d,
Kepler-192 b,
Kepler-192 c,
Kepler-192 d,
Kepler-194 b,
Kepler-194 c,
Kepler-194 d,
Kepler-196 b,
Kepler-196 c,
Kepler-196 d,
Kepler-198 b,
Kepler-198 c,
Kepler-198 d,
Kepler-203 b,
Kepler-203 c,
Kepler-203 d,
Kepler-206 b,
Kepler-206 c,
Kepler-206 d,
Kepler-207 b,
Kepler-207 c,
Kepler-207 d,
Kepler-217 b,
Kepler-217 c,
Kepler-217 d,
Kepler-218 b,
Kepler-218 c,
Kepler-218 d,
Kepler-219 b,
Kepler-219 c,
Kepler-219 d,
Kepler-222 b,
Kepler-222 c,
Kepler-222 d,
Kepler-226 b,
Kepler-226 c,
Kepler-226 d,
Kepler-228 b,
Kepler-228 c,
Kepler-228 d,
Kepler-229 b,
